시도,시군구,소속기관,인원장비,관리인원or장비_대수,year
대전,대덕구,자가처리,중장비(대),0,2016
울산,중구,자가처리,중장비(대),0,2016
울산,남구,자가처리,중장비(대),0,2016
울산,동구,자가처리,중장비(대),0,2016
울산,북구,자가처리,중장비(대),0,2016
울산,울주군,자가처리,중장비(대),0,2016
세종,세종특별자치시,자가처리,중장비(대),0,2016
경기,수원시,자가처리,중장비(대),0,2016
경기,성남시,자가처리,중장비(대),0,2016
경기,의정부시,자가처리,중장비(대),0,2016
경기,안양시,자가처리,중장비(대),0,2016
경기,부천시,자가처리,중장비(대),0,2016
경기,광명시,자가처리,중장비(대),0,2016
경기,평택시,자가처리,중장비(대),0,2016
경기,동두천시,자가처리,중장비(대),0,2016
경기,안산시,자가처리,중장비(대),0,2016
경기,고양시,자가처리,중장비(대),0,2016
경기,과천시,자가처리,중장비(대),0,2016
경기,구리시,자가처리,중장비(대),0,2016
경기,남양주시,자가처리,중장비(대),0,2016
경기,오산시,자가처리,중장비(대),0,2016
경기,시흥시,자가처리,중장비(대),0,2016
경기,군포시,자가처리,중장비(대),0,2016
경기,의왕시,자가처리,중장비(대),0,2016
경기,하남시,자가처리,중장비(대),0,2016
경기,용인시,자가처리,중장비(대),0,2016
경기,파주시,자가처리,중장비(대),0,2016
경기,이천시,자가처리,중장비(대),0,2016
경기,안성시,자가처리,중장비(대),0,2016
경기,김포시,자가처리,중장비(대),0,2016
경기,화성시,자가처리,중장비(대),0,2016
경기,광주시,자가처리,중장비(대),0,2016
경기,양주시,자가처리,중장비(대),0,2016
경기,포천시,자가처리,중장비(대),0,2016
경기,여주시,자가처리,중장비(대),0,2016
경기,연천군,자가처리,중장비(대),0,2016
경기,가평군,자가처리,중장비(대),0,2016
경기,양평군,자가처리,중장비(대),0,2016
충북,청주시,자가처리,중장비(대),0,2016
충북,충주시,자가처리,중장비(대),0,2016
충북,제천시,자가처리,중장비(대),0,2016
충북,보은군,자가처리,중장비(대),0,2016
충북,옥천군,자가처리,중장비(대),0,2016
충북,영동군,자가처리,중장비(대),0,2016
충북,증평군,자가처리,중장비(대),0,2016
충북,진천군,자가처리,중장비(대),0,2016
충북,괴산군,자가처리,중장비(대),0,2016
충북,음성군,자가처리,중장비(대),0,2016
충북,단양군,자가처리,중장비(대),0,2016
충남,천안시,자가처리,중장비(대),0,2016
충남,공주시,자가처리,중장비(대),0,2016
충남,보령시,자가처리,중장비(대),0,2016
충남,아산시,자가처리,중장비(대),0,2016
충남,서산시,자가처리,중장비(대),0,2016
충남,논산시,자가처리,중장비(대),0,2016
충남,계룡시,자가처리,중장비(대),0,2016
충남,당진시,자가처리,중장비(대),0,2016
충남,금산군,자가처리,중장비(대),0,2016
충남,부여군,자가처리,중장비(대),0,2016
충남,서천군,자가처리,중장비(대),0,2016
충남,청양군,자가처리,중장비(대),0,2016
충남,홍성군,자가처리,중장비(대),0,2016
충남,예산군,자가처리,중장비(대),0,2016
충남,태안군,자가처리,중장비(대),0,2016
전북,전주시,자가처리,중장비(대),0,2016
전북,군산시,자가처리,중장비(대),0,2016
전북,익산시,자가처리,중장비(대),0,2016
전북,정읍시,자가처리,중장비(대),0,2016
전북,남원시,자가처리,중장비(대),0,2016
전북,김제시,자가처리,중장비(대),0,2016
전북,완주군,자가처리,중장비(대),0,2016
전북,진안군,자가처리,중장비(대),0,2016
전북,무주군,자가처리,중장비(대),0,2016
전북,장수군,자가처리,중장비(대),0,2016
전북,임실군,자가처리,중장비(대),0,2016
전북,순창군,자가처리,중장비(대),0,2016
전북,고창군,자가처리,중장비(대),0,2016
전북,부안군,자가처리,중장비(대),0,2016
전남,목포시,자가처리,중장비(대),0,2016
전남,여수시,자가처리,중장비(대),0,2016
전남,순천시,자가처리,중장비(대),0,2016
전남,나주시,자가처리,중장비(대),0,2016
전남,광양시,자가처리,중장비(대),0,2016
전남,담양군,자가처리,중장비(대),0,2016
전남,곡성군,자가처리,중장비(대),0,2016
전남,구례군,자가처리,중장비(대),0,2016
전남,고흥군,자가처리,중장비(대),0,2016
전남,보성군,자가처리,중장비(대),0,2016
전남,화순군,자가처리,중장비(대),0,2016
전남,장흥군,자가처리,중장비(대),0,2016
